투자금액비중,보유,Ticker,설명,,yahoo,google,현재가격,적정가격,"25년 
적정 EPS","25년 
적정 PER",Fwd PER,적정 PER,목표값-최대,목표값-평균,목표값-중앙,목표값-분석가 의견합 ,구매가,투자금액,평가금액,수익,수익률,상승여력,비중,"
주간가격변화차트",,,,
,0,000100.ks,유한양행보통주,000100,.ks,KRX:,81500,"147,100.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
0.00%,0,SMR,NuScale Power Corporation,SMR,,,13.95,21.04,-1.47,,,,,24,,,37,$0.00,,,#DIV/0!,68.46%,0.00%,,,,,
,0,SOUN,"SoundHound AI, Inc.",SOUN,,,8.82,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,003490.ks,대한항공보통주,003490,.ks,KRX:,25300,"33,100.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,VIRT,"Virtu Financial, Inc.",VIRT,,NASDAQ:,#N/A,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,#N/A,#N/A,,,,,,,,
,0,086520.ks,에코프로,086520,.ks,KOSDAQ:,127600,"55,000.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,064350.ks,현대로템보통주,064350,.ks,KRX:,203000,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,277810.ks,레인보우로보틱스,277810,.ks,KOSDAQ:,763000,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,010120.ks,LS ELECTRIC보통주,010120,.ks,KRX:,241500,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
,0,003230.ks,삼양식품보통주,003230,.ks,KRX:,1140000,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
